season,player,team,votes
1990,Tony Liberatore W,Bulldogs,18
1990,Graham Wright,Magpies,17
1990,Stephen Silvagni,Blues,16
1990,Brett Lovett,Demons,15
1990,David Bain,Bears,15
1990,Andrew Collins,Hawks,15
1990,Tony McGuinness,Bulldogs,14
1990,Darren Bewick,Bombers,13
1990,Tony Shaw,Magpies,13
1990,Greg Anderson,Bombers,13
1990,Stewart Loewe,Saints,12
1990,Bill Brownless,Cats,12
1990,John Platten,Hawks,11
1990,Stephen Malaxos,Eagles,11
1990,Paul Salmon,Bombers,11
1990,Darren Bennett,Demons,10
1990,Gary O'Donnell,Bombers,10
1990,Terry Wallace,Bulldogs,10
1990,Michael McGuane,Magpies,10
1990,Leon Cameron,Bulldogs,10
1990,Trent Nichols,Tigers,10
1990,Paul Harding,Saints,9
1990,Chris Lewis,Eagles,9
1990,Matthew Larkin,Kangaroos,9
1990,Glenn Coleman,Bulldogs,9
1990,Jason Dunstall,Hawks,9
1990,Garry Lyon,Demons,9
1990,John Longmire,Kangaroos,9
1990,Peter Daicos,Magpies,9
1990,Darren Millane,Magpies,8
1990,Darren Crocker,Kangaroos,8
1990,Brett Stephens,Lions,8
1990,Andrew Obst,Demons,8
1990,Justin Madden,Blues,8
1990,Ross Lyon,Lions,8
1990,Chris Mainwaring,Eagles,8
1990,Andrew Bews,Cats,7
1990,Terry Daniher,Bombers,7
1990,Anthony Rock,Kangaroos,7
1990,Brett Bowey,Saints,7
1990,Greg Williams,Swans,7
1990,Gareth John,Swans,7
1990,Guy McKenna,Eagles,7
1990,Stephen Lawrence,Hawks,7
1990,Tim Powell,Tigers,7
1990,Jeff Chandler,Kangaroos,6
1990,Shane Morwood,Magpies,6
1990,Michael Mitchell,Tigers,6
1990,Craig Bradley,Blues,6
1990,Dennis Carroll,Swans,6
1990,Paul Bryce,Kangaroos,6
1990,Graeme Yeats,Demons,6
1990,David Grenvold,Bombers,6
1990,Craig Lambert,Tigers,6
1990,Dean Rice,Saints,6
1990,Brett Heady,Eagles,6
1990,Adrian Bassett,Blues,6
1990,Dwayne Lamb,Eagles,6
1990,Gary Ablett,Cats,5
1990,Jim Stynes,Demons,5
1990,Barry Young,Tigers,5
1990,Dean Anderson,Hawks,5
1990,Gary Ablett,Cats,5
1990,Michael Long,Bombers,5
1990,Tim Watson,Bombers,5
1990,Jose Romero,Kangaroos,5
1990,Scott Russell,Magpies,5
1990,Ricky Jackson,Demons,5
1990,Paul Meldrum,Blues,5
1990,Roger Merrett,Bears,5
1990,Simon Atkins,Bulldogs,5
1990,Mark Zanotti,Bears,5
1990,John Ironmonger,Lions,5
1990,Peter Foster,Bulldogs,5
1990,Karl Langdon,Eagles,5
1990,Dean Laidley,Eagles,5
1990,Simon Madden,Bombers,4
1990,Peter Cransberg,Bombers,4
1990,Peter Wilson,Eagles,4
1990,Alex Ishchenko,Bears,4
1990,Robert Harvey,Saints,4
1990,Ken Hinkley,Cats,4
1990,Peter Sumich,Eagles,4
1990,Tim Pekin,Saints,4
1990,Darren Morgan,Cats,4
1990,Wayne Carey,Kangaroos,4
1990,John Gastev,Bears,4
1990,Gavin Brown,Magpies,4
1990,Stephen Kernahan,Blues,4
1990,Dermott Brereton,Hawks,4
1990,Matthew Dundas,Lions,4
1990,Trevor Poole,Cats,4
1990,Gary Pert,Lions,4
1990,Gary Ayres,Hawks,4
1990,Danny Frawley,Saints,3
1990,Marcus Ashcroft,Bears,3
1990,Mark Hepburn,Kangaroos,3
1990,Simon Minton-Connell,Blues,3
1990,Dominic Fotia,Blues,3
1990,Frank Coghlan,Saints,3
1990,Paul Van Der Haar,Bombers,3
1990,Paul Couch,Cats,3
1990,David Murphy,Swans,3
1990,Tony Lockett,Saints,3
1990,Gavin Crosisca,Magpies,3
1990,Barry Mitchell,Swans,3
1990,Mark Naley,Blues,3
1990,Mark Thompson,Bombers,3
1990,David Honybun,Tigers,3
1990,Peter German,Kangaroos,3
1990,Barry Stoneham,Cats,3
1990,David Cloke,Tigers,3
1990,Earl Spalding,Demons,3
1990,Matt Armstrong,Lions,3
1990,Paul Roos,Lions,3
1990,Paul Dear,Hawks,3
1990,Anthony Condon,Hawks,3
1990,David Glascott,Blues,3
1990,Darren Wheildon,Lions,3
1990,Wayne Schwass,Kangaroos,3
1990,Mil Hanna,Blues,3
1990,Scott Wynd,Bulldogs,3
1990,Mark Eustice,Swans,3
1990,Simon Eishold,Demons,3
1990,Chris Langford,Hawks,3
1990,Alan Ezard,Bombers,3
1990,Troy Ugle,Eagles,3
1990,Michael Mansfield,Cats,3
1990,Andy Lovell,Demons,3
1990,Russell Jeffrey,Saints,3
1990,Grant Lawrie,Saints,3
1990,Matthew Knights,Tigers,3
1990,Alan Johnson,Demons,3
1990,John McCarthy,Kangaroos,3
1990,Darrin Pritchard,Hawks,2
1990,Anthony Stevens,Kangaroos,2
1990,Darren Collins,Lions,2
1990,Paul Hudson,Hawks,2
1990,Ron McKeown,Magpies,2
1990,Doug Hawkins,Bulldogs,2
1990,Michael Christian,Magpies,2
1990,Matthew Rendell,Lions,2
1990,Andrew Manning,Bombers,2
1990,Brad Rowe,Bears,2
1990,Darren Flanigan,Cats,2
1990,Matthew Hogg,Bulldogs,2
1990,Ian Herman,Blues,2
1990,Robert DiPierdomenico,Hawks,2
1990,Mark Athorn,Lions,2
1990,Ray Sterrett,Cats,2
1990,Dale Kickett,Lions,2
1990,Russell Morris,Hawks,2
1990,Steven Clark,Demons,2
1990,Damian Monkhorst,Magpies,2
1990,John Kennedy,Hawks,2
1990,Tony Francis,Magpies,2
1990,Anthony Daniher,Bombers,2
1990,Brett Allison,Kangaroos,2
1990,Steven Hamilton,Kangaroos,2
1990,Craig Turley,Eagles,2
1990,Steven Febey,Demons,2
1990,Robert Scott,Cats,2
1990,Tony Malakellis,Cats,2
1990,Stephen Ryan,Tigers,2
1990,Paul Hamilton,Bombers,2
1990,Steven Stretch,Demons,2
1990,Glenn Nugent,Hawks,2
1990,Mark Withers,Bears,2
1990,Andrew Phillips,Blues,2
1990,Derek Kickett,Bombers,2
1990,Tom Alvin,Blues,2
1990,Michael Kennedy,Swans,1
1990,Gerard Healy,Swans,1
1990,Scott Clayton,Lions,1
1990,Michael Gallagher,Kangaroos,1
1990,Steven O'Dwyer,Demons,1
1990,Glenn Hawker,Blues,1
1990,Adrian Fletcher,Cats,1
1990,Chris Wittman,Hawks,1
1990,David Hart,Eagles,1
1990,Ian Fairley,Kangaroos,1
1990,Michael Gale,Lions,1
1990,Darren Kappler,Lions,1
1990,Peter Schwab,Hawks,1
1990,Phil Scott,Eagles,1
1990,Stephen Wright,Swans,1
1990,Stephen Wallis,Bulldogs,1
1990,Todd Viney,Demons,1
1990,Peter Rohde,Demons,1
1990,Neville Bruns,Cats,1
1990,Luke O'Sullivan,Blues,1
1990,Justin Pickering,Tigers,1
1990,James Morrissey,Hawks,1
1990,Dwayne Russell,Cats,1
1990,Mark Lee,Tigers,1
1990,Michael Richardson,Bears,1
1990,Luke Donald,Saints,1
1990,Brian Wilson,Demons,1
1990,Adrian Gleeson,Blues,1
1990,Jim Wynd,Lions,1
1990,Martin Leslie,Bears,1
1990,Darren Troy,Cats,1
1990,Michael Kennedy,Swans,1
1990,David Kernahan,Blues,1
1990,Shane Kerrison,Magpies,1
1990,Bernard Toohey,Swans,1
1990,Michael Pickering,Tigers,1
1990,Nicky Winmar,Saints,1
1990,Craig Devonport,Saints,1
1990,Craig Starcevich,Magpies,1
1991,Jim Stynes W,Demons,25
1991,Craig Turley,Eagles,20
1991,Garry Hocking,Cats,19
1991,Peter Matera,Eagles,18
1991,Paul Hudson,Hawks,17
1991,Michael McLean,Bears,17
1991,Matthew Knights,Tigers,17
1991,Tony Lockett,Saints,16
1991,David Cloke,Tigers,16
1991,Damian Bourke,Cats,16
1991,Mark Bairstow,Cats,15
1991,Mark Mickan,Crows,14
1991,Tony Francis,Magpies,14
1991,John Platten,Hawks,13
1991,Ken Hinkley,Cats,13
1991,Wayne Schwass,Kangaroos,13
1991,Peter Foster,Bulldogs,13
1991,Scott Wynd,Bulldogs,12
1991,Andrew Jarman,Crows,11
1991,Paul Couch,Cats,11
1991,Dennis Carroll,Swans,11
1991,Paul Roos,Lions,11
1991,Peter Dean,Blues,11
1991,Nicky Winmar,Saints,11
1991,Allen Jakovich,Demons,10
1991,Dean Irving,Eagles,10
1991,Frank Coghlan,Saints,9
1991,Robert Harvey,Saints,9
1991,Alan Ezard,Bombers,9
1991,Gavin Brown,Magpies,9
1991,Tony McGuinness,Crows,8
1991,Stewart Loewe,Saints,8
1991,Greg Williams,Swans,8
1991,Nigel Smart,Crows,8
1991,Russell Morris,Saints,8
1991,Peter Sumich,Eagles,8
1991,Justin Madden,Blues,8
1991,John Longmire,Kangaroos,8
1991,Simon Atkins,Bulldogs,8
1991,David Grant,Saints,8
1991,Scott Watters,Eagles,8
1991,Peter Daicos,Magpies,8
1991,Tony Hall,Hawks,7
1991,Darren Jarman,Hawks,7
1991,Gavin Wanganeen,Bombers,7
1991,Todd Viney,Demons,7
1991,Paul Salmon,Bombers,7
1991,Sean Simpson,Cats,6
1991,Matthew Larkin,Kangaroos,6
1991,Craig Bradley,Blues,6
1991,Darren Bewick,Bombers,6
1991,Michael Long,Bombers,6
1991,Brad Tunbridge,Swans,6
1991,Mil Hanna,Blues,6
1991,Stephen Silvagni,Blues,6
1991,Michael Tuck,Hawks,6
1991,Brett Allison,Kangaroos,6
1991,Stephen Kernahan,Blues,6
1991,Brett Heady,Eagles,6
1991,Neil Cordy,Swans,6
1991,Roger Merrett,Bears,6
1991,Leon Higgins,Swans,6
1991,John Ironmonger,Lions,6
1991,Chris Mainwaring,Eagles,6
1991,Simon Madden,Bombers,5
1991,Dale Lewis,Swans,5
1991,Ron McKeown,Magpies,5
1991,Doug Hawkins,Bulldogs,5
1991,Michael Martyn,Kangaroos,5
1991,Stephen MacPherson,Bulldogs,5
1991,Barry Stoneham,Cats,5
1991,Anthony Condon,Hawks,5
1991,Stephen Lawrence,Hawks,5
1991,Jeff Hogg,Tigers,5
1991,Darren Millane,Magpies,4
1991,Danny Frawley,Saints,4
1991,Michael Gallagher,Kangaroos,4
1991,Peter Filandia,Bombers,4
1991,Glenn Coleman,Bulldogs,4
1991,Matthew Campbell,Bears,4
1991,Daniel Craven,Saints,4
1991,Jason Dunstall,Hawks,4
1991,Bradley Plain,Bombers,4
1991,Kevin Dyson,Demons,4
1991,Craig Smith,Tigers,4
1991,Troy Lehmann,Magpies,4
1991,Guy McKenna,Eagles,4
1991,David Bain,Bears,4
1991,Alastair Lynch,Lions,4
1991,Ross Lyon,Lions,4
1991,Scott Russell,Magpies,4
1991,Craig Lambert,Tigers,4
1991,Dwayne Lamb,Eagles,4
1991,Andrew Collins,Hawks,4
1991,David Marshall,Crows,4
1991,Mark Zanotti,Bears,4
1991,Andrew Phillips,Blues,4
1991,Peter Cransberg,Bombers,3
1991,Andrew Cavedon,Blues,3
1991,Jeff Chandler,Kangaroos,3
1991,Chris Lewis,Eagles,3
1991,Darren Steele,Kangaroos,3
1991,Brett Lovett,Demons,3
1991,Chris Mew,Hawks,3
1991,Nigel Kellett,Bulldogs,3
1991,David Hart,Eagles,3
1991,Rodney Maynard,Crows,3
1991,Mark Cullen,Bulldogs,3
1991,Tony Shaw,Magpies,3
1991,Paul Williams,Magpies,3
1991,Rod Owen,Demons,3
1991,Glenn Lovett,Demons,3
1991,Shaun Rehn,Crows,3
1991,James Morrissey,Hawks,3
1991,Ben Doolan,Swans,3
1991,Paul Spargo,Kangaroos,3
1991,Dean Kemp,Eagles,3
1991,Jose Romero,Kangaroos,3
1991,Jim Wynd,Lions,3
1991,Anthony Daniher,Bombers,3
1991,Bill Brownless,Cats,3
1991,Paul Broderick,Lions,3
1991,Brad Hardie,Bears,3
1991,Dale Weightman,Tigers,3
1991,Austin McCrabb,Cats,3
1991,Matthew Mansfield,Bulldogs,3
1991,Craig Starcevich,Magpies,3
1991,Derek Kickett,Bombers,3
1991,Tim Darcy,Cats,2
1991,Jamie Turner,Magpies,2
1991,Darren Bennett,Demons,2
1991,Darren Crocker,Kangaroos,2
1991,Gary O'Donnell,Bombers,2
1991,Richard Champion,Bears,2
1991,Ashley McIntosh,Eagles,2
1991,Michael Johnston,Hawks,2
1991,Stevan Jackson,Eagles,2
1991,Paul Brown,Cats,2
1991,Chris Waterman,Eagles,2
1991,Dean Greig,Saints,2
1991,Craig Kelly,Magpies,2
1991,Neville Bruns,Cats,2
1991,Andrew Rogers,Cats,2
1991,Tony Liberatore,Bulldogs,2
1991,Grantley Fielke,Crows,2
1991,Romano Negri,Crows,2
1991,Craig O'Brien,Bombers,2
1991,Terry Thripp,Swans,2
1991,Richard Osborne,Lions,2
1991,Darren Cuthbertson,Demons,2
1991,Chris Langford,Hawks,2
1991,Leon Cameron,Bulldogs,2
1991,Tim Powell,Tigers,2
1991,Darren Baxter,Bulldogs,2
1991,Shane Kerrison,Magpies,2
1991,Bernard Toohey,Swans,2
1991,Michael Pickering,Tigers,2
1991,Chris McDermott,Crows,2
1991,Andrew Underwood,Tigers,2
1991,Stephen Ryan,Tigers,2
1991,Trent Nichols,Tigers,2
1991,David Cameron,Bears,2
1991,Mark Bickley,Crows,2
1991,Wayne Weidemann,Crows,2
1991,Greg Anderson,Bombers,2
1991,Terry Daniher,Bombers,1
1991,Darrin Pritchard,Hawks,1
1991,Jayson Daniels,Saints,1
1991,Anthony Rock,Kangaroos,1
1991,Mark Arceri,Blues,1
1991,Peter Wilson,Eagles,1
1991,Ben Allan,Hawks,1
1991,John Blakey,Lions,1
1991,Shane Morwood,Magpies,1
1991,Greg Eppelstun,Bulldogs,1
1991,Steven Hocking,Cats,1
1991,Chris Wittman,Hawks,1
1991,Brett Stephens,Lions,1
1991,Gavin Crosisca,Magpies,1
1991,Lazar Vidovic,Saints,1
1991,Mark Athorn,Swans,1
1991,Craig Sholl,Kangaroos,1
1991,Ray Sterrett,Cats,1
1991,Michael James,Blues,1
1991,Spiro Malakellis,Cats,1
1991,Tim Pekin,Saints,1
1991,Scott Turner,Tigers,1
1991,Chris Naish,Tigers,1
1991,Graeme Yeats,Demons,1
1991,Anthony Banik,Tigers,1
1991,Brett Ratten,Blues,1
1991,Adrian Gleeson,Blues,1
1991,Wayne Henwood,Swans,1
1991,Dean Rice,Saints,1
1991,Richard Dennis,Blues,1
1991,Stephen Edgar,Blues,1
1991,Brendon Gale,Tigers,1
1991,Luke Beveridge,Demons,1
1991,Robert Scott,Cats,1
1991,Matthew Robran,Hawks,1
1991,Damian Kitschke,Saints,1
1991,Matthew Dundas,Lions,1
1991,Paul Hills,Bombers,1
1991,John McCarthy,Kangaroos,1
1992,Scott Wynd W,Bulldogs,20
1992,Jason Dunstall,Hawks,18
1992,Ken Hinkley,Cats,17
1992,Stewart Loewe,Saints,16
1992,Darren Jarman,Hawks,14
1992,Wayne Carey,Kangaroos,14
1992,Derek Kickett,Bombers,13
1992,Jon Dorotich,Blues,12
1992,Robert Harvey,Saints,12
1992,Nigel Kellett,Bulldogs,12
1992,Shaun Rehn,Crows,12
1992,Tony Liberatore,Bulldogs,12
1992,Andrew Jarman,Crows,11
1992,John Platten,Hawks,11
1992,Gavin Wanganeen,Bombers,11
1992,Mark Bairstow,Cats,11
1992,Scott Russell,Magpies,11
1992,Adrian Gleeson,Blues,11
1992,Tony Lockett,Saints,10
1992,Darren Bewick,Bombers,10
1992,Michael McGuane,Magpies,10
1992,Paul Roos,Lions,10
1992,Glen Jakovich,Eagles,10
1992,Nathan Burke,Saints,10
1992,Paul Salmon,Bombers,10
1992,Chris Mainwaring,Eagles,10
1992,Peter Matera,Eagles,9
1992,Gary Ablett,Cats,9
1992,Graham Wright,Magpies,9
1992,Dwayne Lamb,Eagles,9
1992,Matthew Dundas,Lions,9
1992,Dale Lewis,Swans,8
1992,Chris Grant,Bulldogs,8
1992,Jim Stynes,Demons,8
1992,Brad Tunbridge,Swans,8
1992,Stephen Kernahan,Blues,8
1992,Fraser Brown,Blues,8
1992,Chris McDermott,Crows,8
1992,Nicky Winmar,Saints,8
1992,Gary Pert,Magpies,8
1992,Darrin Pritchard,Hawks,7
1992,Doug Hawkins,Bulldogs,7
1992,Dean Kemp,Eagles,7
1992,Michael Long,Bombers,7
1992,Damian Monkhorst,Magpies,7
1992,Justin Madden,Blues,7
1992,Gavin Brown,Magpies,7
1992,Simon Atkins,Bulldogs,7
1992,Tony Hall,Hawks,6
1992,Paul Couch,Cats,6
1992,Alex Ishchenko,Kangaroos,6
1992,Craig Sholl,Kangaroos,6
1992,Greg Williams,Blues,6
1992,Tim McGrath,Cats,6
1992,Stephen Wallis,Bulldogs,6
1992,Earl Spalding,Blues,6
1992,Tony Francis,Magpies,6
1992,Mil Hanna,Blues,6
1992,David Bain,Bears,6
1992,Darryl White,Bears,6
1992,Martin Leslie,Bears,6
1992,David Schwarz,Demons,6
1992,Paul Hills,Bombers,6
1992,Stuart Maxfield,Tigers,6
1992,Richard Taylor,Hawks,5
1992,Ben Allan,Hawks,5
1992,Brett Lovett,Demons,5
1992,Brett Bowey,Saints,5
1992,Adrian Fletcher,Saints,5
1992,Brett Stephens,Lions,5
1992,Ashley McIntosh,Eagles,5
1992,Troy Clarke,Bears,5
1992,Tony Evans,Eagles,5
1992,Peter Somerville,Bombers,5
1992,Glenn Lovett,Demons,5
1992,Joe Cormack,Lions,5
1992,Tim Allen,Saints,5
1992,Stephen Silvagni,Blues,5
1992,Jason Taylor,Hawks,5
1992,Brendan McCormack,Lions,5
1992,Michael Pickering,Demons,5
1992,Damian Bourke,Cats,5
1992,Trevor Poole,Cats,5
1992,Mark Bickley,Crows,5
1992,Matthew Knights,Tigers,5
1992,Wayne Weidemann,Crows,5
1992,Rod Keogh,Demons,4
1992,Scott Lee,Crows,4
1992,Jamie Lawson,Swans,4
1992,Peter Riccardi,Cats,4
1992,Craig Bradley,Blues,4
1992,Matthew Hogg,Blues,4
1992,Andrew Gowers,Hawks,4
1992,Paul Kelly,Swans,4
1992,Tony Shaw,Magpies,4
1992,Russell Morris,Saints,4
1992,Darren Forssman,Cats,4
1992,Steven Handley,Cats,4
1992,Chris Naish,Tigers,4
1992,Graeme Yeats,Demons,4
1992,Richard Osborne,Lions,4
1992,Steven Kolyniuk,Bulldogs,4
1992,Brett Allison,Kangaroos,4
1992,Craig Lambert,Tigers,4
1992,Scott Hodges,Crows,4
1992,Tony Free,Tigers,4
1992,David Marshall,Crows,4
1992,Peter Foster,Bulldogs,4
1992,Greg Anderson,Bombers,4
1992,Tony McGuinness,Crows,3
1992,Marcus Ashcroft,Bears,3
1992,Anthony Stevens,Kangaroos,3
1992,Brian Royal,Bulldogs,3
1992,John Blakey,Lions,3
1992,Darren Crocker,Kangaroos,3
1992,Darren Steele,Kangaroos,3
1992,Dennis Carroll,Swans,3
1992,Matthew Campbell,Bears,3
1992,Dean Anderson,Hawks,3
1992,Wayne Campbell,Tigers,3
1992,Peter Sumich,Eagles,3
1992,Paul Spargo,Kangaroos,3
1992,Darren Wheildon,Lions,3
1992,Paul Abbott,Lions,3
1992,Ross Lyon,Lions,3
1992,Jim Wynd,Lions,3
1992,Barry Standfield,Bulldogs,3
1992,Chris Daniher,Bombers,3
1992,Jamie Shanahan,Saints,3
1992,Bill Brownless,Cats,3
1992,Stephen Lawrence,Hawks,3
1992,Troy Ugle,Eagles,3
1992,Paul Broderick,Lions,3
1992,Michael Mansfield,Cats,3
1992,Craig Turley,Eagles,3
1992,Robert Scott,Cats,3
1992,Andrew MacNish,Cats,3
1992,Andrew Collins,Hawks,3
1992,Leon Higgins,Swans,3
1992,David Grant,Saints,3
1992,Anthony Lovell,Demons,3
1992,Craig Starcevich,Magpies,3
1992,Simon Minton-Connell,Swans,2
1992,Paul Hudson,Hawks,2
1992,Shaun Smith,Kangaroos,2
1992,Michael Martyn,Kangaroos,2
1992,Peter Caven,Lions,2
1992,Andrew Wills,Cats,2
1992,Kristian Bardsley,Kangaroos,2
1992,Gary O'Donnell,Bombers,2
1992,Brett Sholl,Blues,2
1992,Richard Champion,Bears,2
1992,Michael Gale,Lions,2
1992,Lazar Vidovic,Saints,2
1992,Stevan Jackson,Tigers,2
1992,Todd Breman,Tigers,2
1992,Dean Greig,Saints,2
1992,David Honybun,Tigers,2
1992,Paul Williams,Magpies,2
1992,Rod Owen,Bears,2
1992,Peter Rohde,Demons,2
1992,John Hutton,Bears,2
1992,Ben Doolan,Swans,2
1992,Matt Armstrong,Lions,2
1992,Mark Harvey,Bombers,2
1992,Jose Romero,Kangaroos,2
1992,Michael McLean,Bears,2
1992,Wayne Schwass,Kangaroos,2
1992,Danny Del-Re,Bulldogs,2
1992,Alastair Lynch,Lions,2
1992,John Gastev,Bears,2
1992,Paul Peos,Eagles,2
1992,Gary Ayres,Hawks,2
1992,Dean Laidley,Eagles,2
1992,Peter Daicos,Magpies,2
1992,Dean Wallis,Bombers,1
1992,Andrew Bews,Cats,1
1992,Jason McCartney,Magpies,1
1992,Paul Harding,Eagles,1
1992,Matthew Kennedy,Bears,1
1992,Allen Jakovich,Demons,1
1992,Jason Baldwin,Lions,1
1992,Chris Lewis,Eagles,1
1992,Paul Cooper,Hawks,1
1992,Simon Tregenza,Crows,1
1992,Shane Morwood,Magpies,1
1992,Stephen MacPherson,Bulldogs,1
1992,Greg Eppelstun,Bulldogs,1
1992,Steven Hocking,Cats,1
1992,Barry Mitchell,Swans,1
1992,Andrew McGovern,Swans,1
1992,John Worsfold,Eagles,1
1992,Mark Thompson,Bombers,1
1992,Nigel Smart,Crows,1
1992,Paul Bryce,Demons,1
1992,Anthony Koutoufides,Blues,1
1992,Todd Viney,Demons,1
1992,Stephen Newport,Saints,1
1992,Keenan Reynolds,Bulldogs,1
1992,Peter German,Kangaroos,1
1992,Craig Kelly,Magpies,1
1992,Barry Stoneham,Cats,1
1992,Craig Potter,Bears,1
1992,Chris Sullivan,Demons,1
1992,Danny Noonan,Bears,1
1992,Dean McRae,Kangaroos,1
1992,Craig Smith,Tigers,1
1992,Troy Lehmann,Magpies,1
1992,Anthony Condon,Hawks,1
1992,Marcus Seecamp,Lions,1
1992,Stuart Griffiths,Tigers,1
1992,Brett Heady,Eagles,1
1992,Scott McIvor,Bears,1
1992,John Barnes,Cats,1
1992,Ben Hart,Crows,1
1992,Tom Alvin,Blues,1
1993,Gavin Wanganeen W,Bombers,18
1993,Garry Hocking,Cats,17
1993,Greg Williams,Blues,17
1993,Jason Dunstall,Hawks,16
1993,Wayne Carey,Kangaroos,16
1993,Wayne Schwass,Kangaroos,14
1993,Leon Cameron,Bulldogs,14
1993,Nathan Buckley,Bears,14
1993,Gary Ablett,Cats,13
1993,Matthew Knights,Tigers,13
1993,Jim Stynes,Demons,12
1993,Robert Harvey,Saints,12
1993,Damian Monkhorst,Magpies,12
1993,Scott Wynd,Bulldogs,12
1993,Tony Modra,Crows,11
1993,Tony McGuinness,Crows,11
1993,Ben Allan,Hawks,11
1993,Paul Kelly,Swans,11
1993,Shaun Rehn,Crows,11
1993,Matt Armstrong,Lions,11
1993,Justin Madden,Blues,11
1993,Peter Matera,Eagles,10
1993,Stephen Tingay,Demons,10
1993,Alastair Lynch,Lions,10
1993,Mark Bairstow,Cats,10
1993,Ross Smith,Kangaroos,9
1993,Darren Jarman,Hawks,8
1993,Glenn Lovett,Demons,8
1993,Mick Dwyer,Saints,8
1993,Stephen Kernahan,Blues,8
1993,Scott West,Bulldogs,8
1993,John Barnes,Cats,8
1993,Don Pyke,Eagles,7
1993,Nigel Smart,Crows,7
1993,Guy McKenna,Eagles,7
1993,Shane Crawford,Hawks,7
1993,Gavin Brown,Magpies,7
1993,Anthony Lovell,Demons,7
1993,Paul Harding,Eagles,6
1993,Gary O'Donnell,Bombers,6
1993,Craig Bradley,Blues,6
1993,Ken Hinkley,Cats,6
1993,Andrew Obst,Demons,6
1993,Tony Francis,Magpies,6
1993,Alan Richardson,Magpies,6
1993,Adrian Gleeson,Blues,6
1993,Jim Wynd,Lions,6
1993,Stephen Silvagni,Blues,6
1993,Glen Jakovich,Eagles,6
1993,Nathan Burke,Saints,6
1993,James Hird,Bombers,6
1993,Greg Anderson,Crows,6
1993,Dean Laidley,Kangaroos,6
1993,Simon Minton-Connell,Swans,5
1993,Brad Rowe,Magpies,5
1993,Tony Lockett,Saints,5
1993,Ashley McIntosh,Eagles,5
1993,Craig Sholl,Kangaroos,5
1993,Darren Bewick,Bombers,5
1993,Mark Thompson,Bombers,5
1993,Keenan Reynolds,Bulldogs,5
1993,Wayne Campbell,Tigers,5
1993,Paul Roos,Lions,5
1993,Mark Harvey,Bombers,5
1993,Michael McLean,Bears,5
1993,Garry Lyon,Demons,5
1993,Saverio Rocca,Magpies,5
1993,Paul Broderick,Lions,5
1993,Peter Dean,Blues,5
1993,Robert Scott,Cats,5
1993,Tony Free,Tigers,5
1993,Nicky Winmar,Saints,5
1993,Adrian McAdam,Kangaroos,5
1993,Gilbert McAdam,Saints,5
1993,Matthew Kennedy,Bears,4
1993,Stewart Loewe,Saints,4
1993,Adrian Fletcher,Bears,4
1993,John Worsfold,Eagles,4
1993,Tim McGrath,Cats,4
1993,Paul Williams,Magpies,4
1993,Tony Liberatore,Bulldogs,4
1993,Anthony Condon,Hawks,4
1993,Dustin Fletcher,Bombers,4
1993,Mil Hanna,Blues,4
1993,Chris Langford,Hawks,4
1993,Darren Bourke,Saints,4
1993,Luke Beveridge,Bulldogs,4
1993,Michael Sexton,Blues,4
1993,John Longmire,Kangaroos,4
1993,Paul Salmon,Bombers,4
1993,Mark Bickley,Crows,4
1993,Scott Watters,Swans,4
1993,Tony Hall,Hawks,3
1993,Paul Hudson,Hawks,3
1993,Doug Hawkins,Bulldogs,3
1993,Lawrence Bingham,Saints,3
1993,Michael Martyn,Kangaroos,3
1993,John Platten,Hawks,3
1993,Allen Jakovich,Demons,3
1993,John Blakey,Kangaroos,3
1993,Stephen O'Reilly,Cats,3
1993,Alex Ishchenko,Kangaroos,3
1993,Michael Gale,Lions,3
1993,Andrew Gowers,Hawks,3
1993,Barry Stoneham,Cats,3
1993,Mark Mercuri,Bombers,3
1993,Graham Wright,Magpies,3
1993,Steven Alessio,Bombers,3
1993,John Howat,Tigers,3
1993,James Manson,Lions,3
1993,Darren Wheildon,Lions,3
1993,Ang Christou,Blues,3
1993,David Pittman,Crows,3
1993,Gavin Rose,Swans,3
1993,Steven Kolyniuk,Bulldogs,3
1993,Peter Sartori,Lions,3
1993,Stephen Lawrence,Hawks,3
1993,Brendon Gale,Tigers,3
1993,David Schwarz,Demons,3
1993,Matthew Dundas,Lions,3
1993,Simon Atkins,Bulldogs,3
1993,Derek Kickett,Bombers,3
1993,Danny Frawley,Saints,2
1993,Marcus Ashcroft,Bears,2
1993,Andrew Bews,Cats,2
1993,Anthony Rock,Kangaroos,2
1993,Michael Christian,Magpies,2
1993,Paul Couch,Cats,2
1993,Sean Denham,Bombers,2
1993,Jason Baldwin,Lions,2
1993,Peter Everitt,Saints,2
1993,Simon Tregenza,Crows,2
1993,Darren Steele,Cats,2
1993,Shane Morwood,Magpies,2
1993,Nigel Kellett,Bulldogs,2
1993,David Hart,Eagles,2
1993,Sanford Wheeler,Swans,2
1993,Gavin Crosisca,Magpies,2
1993,Rodney Maynard,Crows,2
1993,Mark Bayes,Swans,2
1993,Andrew McKay,Blues,2
1993,Chris Waterman,Eagles,2
1993,Todd Viney,Demons,2
1993,Matthew Richardson,Tigers,2
1993,Craig Kelly,Magpies,2
1993,Daniel Craven,Bears,2
1993,Peter Sumich,Eagles,2
1993,Earl Spalding,Blues,2
1993,Ilija Grgic,Bulldogs,2
1993,Scott Russell,Magpies,2
1993,Richard Osborne,Swans,2
